family,genus,species,subspecies_variety,species_code,common_name,photosynthetic_pathway,life_cycle,life_form,native
Poaceae,Pseudoroegneria,spicata,subsp. spicata,PSSPS,bluebunch wheatgrass,,p,G,y
Poaceae,Pseudoroegneria,spicata,var. inermis,PSSPI,beardless wheatgrass,,p,G,y
Poaceae,Schizachyrium,sanguineum,var. hirtiflorum,SCSAH,crimson bluestem,,p,G,y
Poaceae,Schizachyrium,scoparium,,SCSC,little bluestem,,p,G,y
Poaceae,Scleropogon,brevifolius,,SCBR2,burrograss,C4,p,G,y
Poaceae,Setaria,leucopila,,SELE6,streambed bristlegrass,,p,G,y
Poaceae,Setaria,macrostachya,,SEMA5,large-spike bristlegrass,C4,p,G,y
Poaceae,Setaria,pumila,,SEPU8,yellow foxtail,,a,G,n
Poaceae,Setaria,viridis,,SEVI4,green bristlegrass,C4,a,G,y
Poaceae,Sorghum,halepense,,SOHA,Johnsongrass,C4,p,G,n
Poaceae,Sporobolus,airoides,,SPAI,alkali sacaton,C4,p,G,y
Poaceae,Sporobolus,contractus,,SPCO4,spike dropseed,C4,p,G,y
Poaceae,Sporobolus,cryptandrus,,SPCR,sand dropseed,C4,p,G,y
Poaceae,Sporobolus,flexuosus,,SPFL2,mesa dropseed,C4,p,G,y
Poaceae,Sporobolus,giganteus,,SPGI,giant dropseed,C4,p,G,y
Poaceae,Sporobolus,nealleyi,,SPNE,gyp dropseed,C4,p,G,y
Poaceae,Sporobolus,wrightii,,SPWR2,big sacaton,C4,p,G,y
Poaceae,Tragus,berteronianus,,TRBE,spiked bur grass,,a,G,y
Poaceae,Tragus,racemosus,,TRRA,stalked bur grass,,a,G,y
Poaceae,Tridens,muticus,var. elongatus,TRMUE,slim tridens,,p,G,y
Poaceae,Tridens,muticus,,TRMU,slim tridens,,p,G,y
Poaceae,Triticum,aestivum,,TRAE,common wheat,C3,a,G,n
Poaceae,Vulpia,octoflora,var. glauca,VUOCG,sixweeks fescue,C3,a,G,y
Polemoniaceae,Eriastrum,diffusum,,ERDI2,miniature woollystar,,a,H,y
Polemoniaceae,Gilia,flavocincta,,GIFL,lesser yellowthroat gilia,C3,a,H,y
Polemoniaceae,Gilia,mexicana,,GIME,El Paso gilia,,a,H,y
Polemoniaceae,Gilia,sinuata,,GISI,rosy gilia,,a,H,y
Polemoniaceae,Giliastrum,rigidula,,GIRI3,bluebowls,,ap,ss/H,y
Polemoniaceae,Ipomopsis,laxiflora,,IPLA2,iron ipomopsis,,ab,H,y
Polemoniaceae,Ipomopsis,longiflora,,IPLO2,flaxflower ipomopsis,,ab,H,y
Polemoniaceae,Ipomopsis,multiflora,,IPMU3,manyflowered ipomopsis,,p,ss/H,y
Polemoniaceae,Ipomopsis,pumila,,IPPU4,dwarf ipomopsis,,a ,H,y
Polygalaceae,Polygala,alba,,POAL4,white milkwort,,p,H,y
Polygonaceae,Eriogonum,abertianum,,ERAB2,Abert's buckwheat,C3,a,H,y
Polygonaceae,Eriogonum,annuum,,ERAN4,annual buckwheat,,ab ,H,y
Polygonaceae,Eriogonum,cernuum,,ERCE2,nodding buckwheat,,a,H,y
Polygonaceae,Eriogonum,effusum,,EREF,spreading buckwheat,,p,S/ss,y
Polygonaceae,Eriogonum,havardii,,ERHA,Harvard's buckwheat,,p,H,y
Polygonaceae,Eriogonum,jamesii,var. jamesii,ERJAJ,James' buckwheat,C3,p,ss/H,y
Polygonaceae,Eriogonum,jamesii,,ERJA,James' buckwheat,C3,p,ss/H,y
Polygonaceae,Eriogonum,leptophyllum,,ERLE10,slenderleaf buckwheat,,p,ss/H,y
Polygonaceae,Eriogonum,polycladon,,ERPO4,sorrel buckwheat,,a,H,y
Polygonaceae,Eriogonum,rotundifolium,,ERRO2,roundleaf buckwheat,C3,a,H,y
Polygonaceae,Eriogonum,wrightii,,ERWR,bastardsage,C3,p,S/ss/H,y
Polygonaceae,Polygonum,lapathifolia,,POLA4,curlytop knotweed,C3,a,H,n
Polygonaceae,Rumex,altissimus,,RUAL4,pale dock,C3,p,H,y
Polygonaceae,Rumex,crispus,,RUCR,curly dock,C3,p,H,y
Polygonaceae,Rumex,salicifolius,var. mexicanus,RUSAM,Mexican dock,C3,p,H,y
Portulacaceae,Phemeranthus,longipes,,PHLO15,pink fameflower,,p,H,y
Portulacaceae,Portulaca,halimoides,,POHA5,silkcotton purslane,C4,a,H/su,y
Portulacaceae,Portulaca,oleracea,,POOL,little hogweed,,a,H/su,y
Portulacaceae,Phemeranthus,parviflorus,,PHPA29,sunbright,C3,p,ss/H,y
Pteridaceae,Argyrochosma,fendleri,,ARFE5,Fendler's false cloak ferm,,p,H,y
Pteridaceae,Cheilanthes,feei,,CHFE,slender lipfern,,p,H,y
Pteridaceae,Cheilanthes,wootonii,,CHWO,beaded lipfern,,p,H,y
Pteridaceae,Notholaena,standleyi,,NOST,star cloak fern,,P,H,y
Ranunculaceae,Clematis,ligusticifolia,,CLLI2,western white clematis,,p,V,y
Ranunculaceae,Delphinium,carolinianum,var. virescens,DECAV2,Carolina larkspur,C3,p,H,y
Ranunculaceae,Delphinium,wootonii,,DEWO,Organ Mountain larkspur,,p,H,y
Ranunculaceae,Thalictrum,fendleri,,THFE,Fendler's meadow-rue,,p,H,y
Rosaceae,Cercocarpus,montanus,,CEMO2,alderleaf mountain mahogany,C3,p,T/S,y
Rosaceae,Fallugia,paradoxa,,FAPA,Apache plume,C3,p,S,y
Rosaceae,Petrophyton,caespitosum,,PECA12,mat rockspirea,,p,ss/H,y
Rosaceae,Prunus,virginiana,var. melanocarpa,PRVIM,black chokecherry,C3,p,T/S,y
Rosaceae,Prunus,virginiana,,PRVI,chokecherry,C3,p,T/S,y
Rubiaceae,Galium,trifidum,,GATR2,threepetal bedstraw,,p,V/H,y
Rubiaceae,Houstonia,rubra,,HORU,red bluet,,p,H,y
Rutaceae,Ptelea,trifoliata,subsp. angustifolia ,PTTRA,common hoptree,,p,T/S,y
Salicaceae,Populus,fremontii,,POFR2,Fremont cottonwood,,p,T ,y
Salicaceae,Salix,exigua,,SAEX,narrowleaf willow,C3,p,T/S,y
Salicaceae,Salix,gooddingii,,SAGO,Goodding's willow,C3,p,T,y
Saururaceae,Anemopsis,californica,,ANCA10,yerba mansa,,p,H,y
Saxifragaceae,Heuchera,rubescens,var. rubescens,HERUR2,pink alumroot,,p,H,y
Scrophulariaceae,Castilleja,integra,,CAIN14,wholeleaf Indian paintbrush,,p,ss/H/rp,y
Scrophulariaceae,Castilleja,minor,,CAMI13,lesser Indian paintbrush,,ap,ss/H/rp,y
Scrophulariaceae,Cordylanthus,wrightii,,COWR2,Wright's bird's beak,,a,H,y
Scrophulariaceae,Epixiphium,wislizeni,,EPWI2,ballonbush,,p,V/H,y
Scrophulariaceae,Maurandella,antirrhiniflora,,MAAN9,roving sailor,,p,V/H,y
Scrophulariaceae,Penstemon,ambiguus,var. laevissimus,PEAML2,pink plains beardtongue,C3,p,ss/H,y
Scrophulariaceae,Penstemon,ambiguus,,PEAM,Gilia beardtongue,C3,p,H,y
Scrophulariaceae,Penstemon,barbatus,var. torreyi,PEBAT,Torrey's penstemon,C3,p,H,y
Scrophulariaceae,Penstemon,barbatus,,PEBA2,beardlip penstemon,C3,p,H,y
Scrophulariaceae,Penstemon,fendleri,,PEFE,Fendler's penstemon,C3,p,H,y
Scrophulariaceae,Penstemon,jamesii,,PEJA,James' beardtongue,C3,p,ss/H,y
Scrophulariaceae,Penstemon,ophianthus,,PEOP,coiled anther penstemon,,p,H,y
Scrophulariaceae,Penstemon,virgatus,,PEVI4,upright blue beardtongue,C3,p,H,y
Scrophulariaceae,Veronica,anagallis-aquatica,,VEAN2,water speedwell,,bp,H,y
Selaginellaceae,Selaginella,mutica,var. mutica,SEMUM,bluntleaf spikemoss,,p,H,y
Selaginellaceae,Selaginella,underwoodii,,SEUN,Underwood's spikemoss,,p,H,y
Simaroubaceae,Ailanthus,altissima,,AIAL,tree of heaven,,p,T,n
Solanaceae,Calibrachoa,parviflora,,CAPA47,seaside petunia,,a,H,y
Solanaceae,Chamaesaracha,coniodes,,CHCO,gray five eyes,,p,H,y
Solanaceae,Chamaesaracha,coronopus,,CHCO2,greenleaf five eyes,C3,p,H,y
Solanaceae,Chamaesaracha,sordida,,CHSO,hairy five eyes,C3,p,H,y
Solanaceae,Lycium,pallidum,,LYPA,pale desert thorn,,p,S,y
Solanaceae,Lycium,torreyi,,LYTO,Torrey wolfberry,,p,S,y
Solanaceae,Physalis,hederifolia,var. fendleri,PHHEF,Fendler's groundcherry,C3,p,ss/H,y
Solanaceae,Physalis,hederifolia,var. hederifolia,PHHEH2,ivyleaf groundcherry,C3,p,ss/H,y
Solanaceae,Physalis,hederifolia,,PHHE4,ivyleaf groundcherry,C3,p,ss/H,y
Solanaceae,Physalis,longifolia,var. longifolia,PHLOL3,longleaf groundcherry,C3,p,H,y
Solanaceae,Solanum,elaeagnifolium,,SOEL,silverleaf nightshade,C3,p,ss/H,y
Solanaceae,Solanum,heterodoxum,,SOHE,melonleaf nightshade,C3,a,H,y
Solanaceae,Solanum,jamesii,,SOJA,,C3,p,H,y
Tamaricaceae,Tamarix,chinensis,,TACH2,five-stamen tamarisk,,p,T/S,n
Tamaricaceae,Tamarix,ramosissima,,TARA,saltcedar,,p,T/S,n
Typhaceae,Typha,domingensis,,TYDO,southern cattail,,p,H,n
Typhaceae,Typha,latifolia,,TYLA,broadleaf cattail,,p,H,n
Ulmaceae,Celtis,laevigata,var. reticulata,CELAR,netleaf hackberry,,p,T/S,y
Verbenaceae,Aloysia,wrightii,,ALWR,Wright's beebrush,C3,p,S,y
Verbenaceae,Glandularia,bipinnatifida,var. bipinnatifida,GLBIB,Dakota mock vervain,,ap,H,y
Verbenaceae,Glandularia,bipinnatifida,var. ciliata,GLBIC,Davis Mountina mock vervain,,ap,H,y
Verbenaceae,Glandularia,bipinnatifida,,GLBI2,Dakota mock vervain,,ap,H,y
Verbenaceae,Tetraclea,coulteri,,TECO,Coulter's wrinklefruit,,p,ss/H,y
Verbenaceae,Verbena,bracteata,,VEBR,bigbract verbena,C3,abp,H,y
Verbenaceae,Verbena,neomexicana,var. hirtella,VENEH,hillside vervain,,p,H,y
Violaceae,Hybanthus,verticillatus,,HYVE,babyslippers,,p,H,y
Viscaceae,Phoradendron,juniperinum,,PHJU,juniper mistletoe,,p,S/ss/sp,y
Vitaceae,Parthenocissus,quinquefolia,,PAQU2,Virginia creeper,C3,p,WV,y
Vitaceae,Vitis,arizonica,,VIAR2,canyon grape,,p,WV,y
Zygophyllaceae,Kallstroemia,hirsutissima,,KAHI,,,a,H,y
Zygophyllaceae,Kallstroemia,parviflora,,KAPA,warty caltrop,C4,a,H,y
Zygophyllaceae,Larrea,tridentata,,LATR2,creosote bush,C3,p,S,y
Zygophyllaceae,Larrea,tridentata,,LATR2B,creosote bush,C3,p,S,y
Zygophyllaceae,Tribulus,terrestris,,TRTE,punturevine,C4,a,H,n
