PERIOD,DATE,PLOT,MND,ID No,SPP,AGE,SEX,SUB,CNT
S02,05/24/02,PK,KN,KN212,PSSP,1,N,SCBR2,2
S02,05/24/02,PK,KN,KN24,ERSI,A,F,PAOB,1
S02,05/24/02,PK,KN,KN25,AUFE,A,M,GRND,1
S02,05/24/02,PK,KN,KN25,TRPA,A,F,GRND,1
S02,05/24/02,PK,KN,KN28,MELA,3,N,AMCR,1
S02,05/24/02,PK,KN,KN28,TRPA,A,M,GRND,2
S02,05/24/02,PK,KN,KN297,MELA,A,F,PAOB,1
S02,05/24/02,PK,KN,KN297,PAPA,A,F,PAOB,1
S02,05/24/02,PK,KN,KN297,TRPA,A,M,GRND,1
S02,05/24/02,PK,KN,KN304,AGDE,A,F,SCBR2,1
S02,05/24/02,PK,KN,KN304,TRKI,A,M,GRND,1
S02,05/24/02,PK,KN,KN332,MELA,A,M,SAKA,1
S02,05/24/02,PK,KN,KN34,AGDE,A,F,GRND,1
S02,05/24/02,PK,KN,KN368,TRKA,A,M,GRND,1
S02,05/24/02,PK,KN,KN368,TRPA,A,M,GRND,1
S02,05/24/02,PK,KN,KN368,TRPA,A,F,GRND,1
S02,05/24/02,PK,KN,KN382,AGDE,A,F,GRND,1
S02,05/24/02,PK,KN,KN382,MELA,A,F,ERRO,1
S02,05/24/02,PK,KN,KN382,TRKI,A,M,GRND,1
S02,05/24/02,PK,KN,KN382,TRKI,A,F,GRND,1
S02,05/24/02,PK,KN,KN385,HATR,A,F,GRND,1
S02,05/24/02,PK,KN,KN385,MELA,A,F,ERRO,1
S02,05/24/02,PK,KN,KN385,TRPA,A,M,GRND,1
S02,05/24/02,PK,KN,KN388,AUEL,A,M,SCBR2,1
S02,05/24/02,PK,KN,KN388,PSSP,2,N,SCBR2,1
S02,05/24/02,PK,KN,KN388,TRPA,A,M,GRND,2
S02,05/24/02,PK,KN,KN43,MELA,A,F,TILA,1
S02,05/24/02,PK,KN,KN43,TRPA,A,M,GRND,1
S02,05/24/02,PK,KN,KN44,TRPA,A,M,GRND,2
S02,05/24/02,PK,KN,KN487,AGDE,A,M,GRND,1
S02,05/24/02,PK,KN,KN487,TRPA,A,F,GRND,1
S02,05/24/02,PK,KN,KN6,PSSP,2,N,ERPU,1
S02,05/24/02,PK,KN,KN6,TRPA,A,F,GRND,1
S02,05/24/02,PK,KN,KN7,ERSI,A,M,ARPU,1
S02,05/24/02,PK,KN,KN7,TRFO,A,M,SPHA,1
S02,05/24/02,PK,PM,PM128,PSDE,A,M,GRND,1
S02,05/24/02,PK,PM,PM133,PSDE,A,F,GRND,1
S02,05/24/02,PK,PM,PM140,XACO,A,M,GRND,1
S02,05/24/02,PK,PM,PM181,TRPA,A,M,GRND,1
S02,05/24/02,PK,PM,PM205,TRPA,A,M,GRND,1
S02,05/24/02,PK,PM,PM220,PSDE,A,F,GRND,1
S02,05/24/02,PK,PM,PM237,PSDE,A,F,SCBR2,1
S02,05/24/02,PK,PM,PM237,TRPA,A,M,GRND,1
S02,05/24/02,PK,PM,PM249,PSDE,A,M,GRND,1
S02,05/24/02,PK,PM,PM251,XACO,A,M,GRND,1
S02,05/24/02,PK,PM,PM263,ERSI,A,M,BOGR,1
S02,05/24/02,PK,PM,PM275,PSDE,A,F,GRND,1
S02,05/24/02,PK,PM,PM290,PSDE,A,F,GRND,1
S02,05/24/02,PK,PM,PM299,XACO,A,F,GRND,1
S02,05/24/02,PK,PM,PM300,PSTE,A,F,GRND,1
S02,05/24/02,PK,PM,PM310,ARCO,A,F,GRND,1
S02,05/24/02,PK,PM,PM310,DABI,A,M,APRA,1
S02,05/24/02,PK,PM,PM310,ERSI,A,F,BOER,1
S02,05/24/02,PK,PM,PM312,ARCO,A,F,GRND,1
S02,05/24/02,PK,PM,PM312,ERSI,A,F,SPAI,1
S02,05/24/02,PK,PM,PM316,AUEL,A,F,GRND,1
S02,05/24/02,PK,PM,PM36,TRPA,A,F,GRND,1
S02,05/24/02,PK,PM,PM71,AUFE,A,M,SCBR2,1
S02,05/24/02,PK,PM,PM78,MEAZ,A,M,SPCR,1
S02,05/24/02,PK,PN,PN128,MELA,A,M,KAPA,1
S02,05/24/02,PK,PN,PN128,TRPA,A,M,GRND,1
S02,05/24/02,PK,PN,PN133,AGDE,A,F,GRND,1
S02,05/24/02,PK,PN,PN133,ERSI,A,M,HIJA,1
S02,05/24/02,PK,PN,PN133,MELA,A,M,ERAB,1
S02,05/24/02,PK,PN,PN140,TRPA,A,F,GRND,2
S02,05/24/02,PK,PN,PN181,TRPA,A,F,GRND,1
S02,05/24/02,PK,PN,PN205,AGDE,A,M,GRND,1
S02,05/24/02,PK,PN,PN205,AMCO,A,F,HIJA,1
S02,05/24/02,PK,PN,PN205,ERSI,A,M,SPAI,1
S02,05/24/02,PK,PN,PN220,AGDE,A,F,GRND,1
S02,05/24/02,PK,PN,PN220,HATR,A,M,GRND,1
S02,05/24/02,PK,PN,PN220,PSSP,2,N,SCBR2,1
S02,05/24/02,PK,PN,PN237,AGDE,A,F,GRND,1
S02,05/24/02,PK,PN,PN237,OPOB,A,M,HIJA,1
S02,05/24/02,PK,PN,PN237,PAPA,A,M,BOER,1
S02,05/24/02,PK,PN,PN237,PAPA,A,F,BOER,1
S02,05/24/02,PK,PN,PN249,TRPA,A,M,GRND,1
S02,05/24/02,PK,PN,PN251,MEAZ,A,F,MASP,1
S02,05/24/02,PK,PN,PN263,TRPA,A,M,GRND,1
S02,05/24/02,PK,PN,PN275,AGDE,A,M,SCBR2,1
S02,05/24/02,PK,PN,PN275,PSSP,1,N,SCBR2,1
S02,05/24/02,PK,PN,PN275,PSSP,1,N,SCBR2,1
S02,05/24/02,PK,PN,PN290,PAPA,A,M,SPCO,1
S02,05/24/02,PK,PN,PN299,PSDE,A,M,GRND,1
S02,05/24/02,PK,PN,PN300,PSDE,A,F,SCBR2,1
S02,05/24/02,PK,PN,PN310,CIPA,A,M,GRND,1
S02,05/24/02,PK,PN,PN310,XACO,A,M,GRND,2
S02,05/24/02,PK,PN,PN312,PSDE,A,M,GRND,1
S02,05/24/02,PK,PN,PN312,PSDE,A,F,GRND,1
S02,05/24/02,PK,PN,PN312,PSDE,A,F,GRND,2
S02,05/24/02,PK,PN,PN316,PSDE,A,M,BOER,1
S02,05/24/02,PK,PN,PN316,PSDE,A,F,BOER,1
S02,05/24/02,PK,PN,PN36,PSDE,A,F,GRND,1
S02,05/24/02,PK,PN,PN36,PSDE,A,M,SCBR,1
S02,05/24/02,PK,PN,PN71,PSDE,A,F,GRND,1
S02,05/24/02,PK,PN,PN78,XACO,A,F,GRND,1
