numer	Taxa_sppcode	Taxa_kingdom	Taxa_phylum	Taxa_class	Taxa_order	Taxa_family	Taxa_genus	Taxa_species
"	617"	 Rough-winged Swallow	Animaila	Chordata	Aves	Passeriformes	Hirundinidae	Stelgidopteryx	serripennis
"	622"	 Loggerhead Shrike	Animaila	Chordata	Aves	Passeriformes	Laniidae	Lanius	ludoviciana
"	629"	 Solitary Vereo	Animaila	Chordata	Aves	Passeriformes	Vireonidae	Vireo	NA
"	655"	 Yellow-rumped Warbler	Animaila	Chordata	Aves	Passeriformes	Parulidae	Setophaga	coronata
"	668"	 Townsend's Warbler	Animaila	Chordata	Aves	Passeriformes	Parulidae	Setophaga	townsendi
"	680"	 MacGillivray's Warbler	Animaila	Chordata	Aves	Passeriformes	Parulidae	Geothlypis	tolmiei
"	702"	 Sage Thrasher	Animaila	Chordata	Aves	Passeriformes	Mimidae	Oreoscoptes	montanus
"	703"	 Northern Mockingbird	Animaila	Chordata	Aves	Passeriformes	Mimidae	Mimus	polyglottos
"	705"	 Brown Thrasher	Animaila	Chordata	Aves	Passeriformes	Mimidae	Toxostoma	rufum
"	708"	 Bendire's Thrasher	Animaila	Chordata	Aves	Passeriformes	Mimidae	Toxostoma	bendirei
"	713"	 Cactus Wren	Animaila	Chordata	Aves	Passeriformes	Troglodytidae	Campylorhynchus	brunneicapillus
"	715"	 Rock Wren	Animaila	Chordata	Aves	Passeriformes	Troglodytidae	Salpinctes	obsoletus
"	719"	 Bewick's Wren	Animaila	Chordata	Aves	Passeriformes	Troglodytidae	Thryomanes	bewickii
"	721"	 House Wren	Animaila	Chordata	Aves	Passeriformes	Troglodytidae	Troglodytes	aedon
"	727"	 White-breasted Nuthatch	Animaila	Chordata	Aves	Passeriformes	Sittidae	Sitta	carolinensis
"	728"	 Red-breasted Nuthatch	Animaila	Chordata	Aves	Passeriformes	Sittidae	Sitta	canadensis
"	733"	 Plain Titmouse	Animaila	Chordata	Aves	Passeriformes	Paridae	Baeolophus	inornatus
"	735"	 Black-capped Chickadee	Animaila	Chordata	Aves	Passeriformes	Paridae	Poecile	atricapillus
"	738"	 Mountain Chickadee	Animaila	Chordata	Aves	Passeriformes	Paridae	Poecile	gambeli
"	743"	 Bushtit	Animaila	Chordata	Aves	Passeriformes	Passeri	Aegithalidae	NA
"	749"	 Ruby-crowned Kinglet	Animaila	Chordata	Aves	Passeriformes	Regulidae	Regulus	calendula
"	751"	 Blue-gray Gnatcatcher	Animaila	Chordata	Aves	Passeriformes	Polioptilidae	Polioptila	caerulea
"	754"	 Townsend's Solitaire	Animaila	Chordata	Aves	Passeriformes	Turdidae	Myadestes	townsendi
"	761"	 American Robin	Animaila	Chordata	Aves	Passeriformes	Turdidae	Turdus	migratorius
"	767"	 Western Bluebird	Animaila	Chordata	Aves	Passeriformes	Turdidae	Sialia	mexicana
"	768"	 Mountain Bluebird	Animaila	Chordata	Aves	Passeriformes	Turdidae	Sialia	currucoides
