LTER SpeciesCode	Scientific Name	Authority	Common Name	"Habit (P=Perennial, A=Annual, Bi=Biennial; Growth Form (G=Grass, F=Forb, SS=Sub Shrub) "	" (C=cool, W=Warm Season)"	Flowering Date	Family	
Erci	Erodium cicutarium	(L.) L?Her.	redstem filaree	AF		Mar-Sep	Geraniaceae	
Eras	Erysimum asperum	(Nutt.) DC.	western wallflower	PF or BiF		Apr-Jun	Cruciferae	
Eude*	Euphorbia dentata	Michx.	toothed spurge	AF		May-Oct	Euphorbiaceae	
Euge	Euphorbia geyeri	Engelm.	Geyer?s euphorbia (spurge)	AF		Jun-Oct	Euphorbiaceae	
Eugl*	Euphorbia glyptosperma	Engelm.	ridgeseed euphorbia	AF		May-Oct	Euphorbiaceae	
Euma	Euphorbia marginata	Pursh	snow-on-the-mountain spurge	AF		Jun-Oct	Euphorbiaceae	
Eumi	Euphorbia missurica	Raf.	Missouri spurge	AF		Jun-Nov	Euphorbiaceae	
Euro	Euphorbia robusta	(Engelm.) Small.	robust spurge	PF		Jun-Sep	Euphorbiaceae	
Eula	See Cela							
Evnu	Evolvulus nuttallianus	R. & S.	Nuttal?s evolvulus	PF		May-Jul	Convolvulaceae	
Frdi	See Amto							
Gaco	Gaura coccinea	Nutt. ex. Pursh	scarlet gaura	PF	CS	Apr-Sep	Onagraceae	
Gapa	Gaura parviflora	Dougl.	smallflower gaura	AF		May-Oct	Onagraceae	
Gefr	Geranium fremontii	Torr. & Gray	Fremont geranium	PF			Geraniaceae	
Gila 	See Ipla							
Gisp	See Ipsp							
Glle	Glycyrrhiza lepidota	(Nutt.) Pursh	American licorice	PF		May-Aug	Leguminosae	
Gnul	Gnaphalium uliginosum	L.	slenderleaved cudweed	AF		Jul-Oct	Compositae	
Grsq	Grindelia squarrosa	(Pursh) Dunal	curlycup gumweed	PF or BiF	WS	Jul-Oct	Compositae	
Gusa	Gutierrezia sarothrae	(Pursh) Britt. & Rusby	broom snakeweed	PSS	CS	Aug-Oct	Compositae	
Haac	Haplopappus acaulis	(Nutt.) Gray	stemless goldenweed	PF			Compositae	
Hasp	Haplopappus spinulosus	(Pursh) DC.	ironplant tansyaster	PF	WS	May-Sep	Compositae	
Hehi*	Hedeoma hispida	Pursh	rough false pennyroyal	AF		May-Jul (Aug-Sep)	Labiatae	
Hebo	Hedysarum boreale	Nutt.	sweet broom	PF		Jun-Aug	Leguminosae	
Hean	Helianthus annuus	L.	common sunflower	AF		Jul-Sep	Compositae	
Hepe	Helianthus petiolaris	Nutt.	prairie sunflower	PF	WS	Jun-Sep	Compositae	
Hepu	Helianthus pumilus	Nutt.	low sunflower	PF		Jul-Aug	Compositae	
Hyfi	Hymenopappus filifolius	Hook.	fineleaf hymenopappus	PF		Jun-Aug	Compositae	
Hyac	Hymenoxys acaulis	(Pursh) Parker	stemless actinea (hymenoxys)	PF		May-Aug	Compositae	
Iple	Ipomoea leptophylla	Torr.	bush morningglory	PF		May-Sep	Convolvulaceae	
Ipla	Ipomopsis laxiflora	(Coult.) V. Grant	looseflowered gilia	AF to BiF		May-Jul	Polemoniaceae	
Ipsp	Ipomopsis spicata	(Nutt.) V. Grant	spike gilia	PF		May-Jul	Polemoniaceae	
Ivax	Iva axillaris	Pursh	poverty sumpweed	PF		Jun-Oct	Compositae	
Ivxa	Iva xanthifolia	Nutt.	marsh elder sumpweed	AF		Jul-Sep	Compositae	
Kosc	Kochia scoparia	(L.) Schrad.	Iran summer cyperus	AF		Jul-Oct	Chenopodiaceae	
Kueu*	Kuhnia eupatorioides	L.	false boneset	PF		Aug-Oct	Compositae	
Laob	Lactuca oblongifolia	Nutt.	chicory lettuce	PF		Jun-Sep	Compositae	
Lase	Lactuca serriola	L.	prickly lettuce	AF		Jun-Sep	Compositae	
Lare	Lappula redowskii	(Hornem.) Greene	blueburr stickseed	AF		May-Aug	Boraginaceae	
Lain	See Lapo							
Lapo	Lathyrus polymorphus	Nutt. ssp. incanus (Sm. & Rydb.) C.L. Hitchc.	hoary peavine	PF		May-Jun	Leguminosae	
Lede	Lepidium densiflorum	Schrad.	prairie pepperweed	AF or BiF	CS	Feb-Jun	Cruciferae	
Lelu	Lesquerella ludoviciana	(Nutt.) Wats.	foothill bladderpod	PF		Apr-Aug	Cruciferae	
Lemo	Leucocrinum montanum	Nutt. ex. Gray	common starlily or mountain lily	PF	CS	Apr-Jun	Liliaceae	
Lipu	Liatris punctata	Hook.	dotted gayfeather	PF		Jul-Oct	Compositae	
Lipe*	Linum perenne	L. var. lewisii (Pursh) Eat. & Wright	blue flax	PF		May-Aug	Linaceae	
Liri	Linum rigidum	Pursh	stiffstem (yellow) flax	AF		May-Oct	Linaceae	
Liin	Lithospermum incisum	Lehm.	narrowleaf gromwell	PF	CS	Apr-Jun	Boraginaceae	
Loor*	Lomatium orientale	Coult & Rose	wild parsley	PF		Apr-Jun	Umbelliferae	
Luar*	Lupinus argenteus	Prush	silvery lupine	PF		Jun-Aug	Leguminosae	
Lupu	Lupinus pusillus	Pursh	rusty lupine	AF	CS	May-Aug	Leguminosae	
Lyju	Lygodesmia juncea	(Pursh) D. Don	rush skeletonweed	PF	WS	Jun-Sep	Compositae	
Maca	Machaeranthera canescens	(Pursh) A. Gray	hoary tansyaster	AF or BiF		Jul-Oct	Compositae	
Mata	Machaeranthera tanacetifolia	(H. B. K.) Nees	tansyleaf aster	AF		Jul-Sep	Compositae	
Mane**	Malva neglecta	Wallr.	common cheesewood mallow	AF		Apr-Oct	Malvaceae	
Mavi	See Covi							
Mavu	Marrubium vulgare	L.	common horehound	PF		May-Jul	Labiatae	
Melu	Medicago lupulina	L.	black medic	AF		Apr-Nov	Leguminosae	
Meal	Melilotus alba	Medic.	white sweetclover	AF or BiF		May-Oct	Leguminosae	
Meof	Melilotus officinalis	(L.) Pallas	yellow sweetclover	AF or BiF		May-Oct	Leguminosae	
Mede	Mentzelia decapetala	(Pursh) Urban. & Gilg.	tenpetal mentzelia	PF or BiF		Jul-Sep	Loasaceae	
Menu	Mentzelia nuda	(Pursh) Torr. & Gray	bractless mentzelia	PF or BiF		Jul-Sep	Loasaceae	
Micu	Microseris cuspidata	(Pursh) Ech.-Bip.	pointedleaf nothocalais	PF		Apr-Jun	Compositae	
Mili	Mirabilis linearis	(Pursh) Heimerl.	linearleaved four-o?clock	PF	WS	May-Sep	Nyctaginaceae	
Miny	Mirabilis nyctaginea	(Michx.) Macm	heartleaf four-o?clock	PF		May-Oct	Nyctaginaceae	
Mope*	Monarda pectinata	Nutt.	spotted or plains beebalm	AF		May-Jul	Labiatae	
Mudi	Musineum divaricatum	(Pursh) Nutt. ex. T. & G.	leafy musineon	PF		May-Jul	Umbelliferae	
Oeal	Oenothera albicaulis	Pursh	prairie evening primrose	AF	WS	Apr-Aug	Onagraceae	
Oeca	Oenothera caespitosa	Nutt. var. macroglottis Wagner	large tounge (tufted) evening primrose	PF		May-Aug	Onagraceae	
Oeco	Oenothera coronopifolia	Torr. & Gray	coronopsus evening primrose	PF	WS	May-Jul	Onagraceae	
Oela	Oenothera latifolia	(Rydb.) Munz	pale evening primrose	PF		Jun-Sep	Onagraceae	
Oevi	Oenothera villosa	Thunb.	shaggy evening primrose	BiF		Jul-Oct	Onagraceae	
Oese	See Case							
Opco*	Opuntia compressa		flat prickly pear	PS		May-Jun	Cactaceae	
Opfr*	Opuntia fragilis	Nutt. Haw.	little prickly pear	PS		Jun-Jul	Cactaceae	
Oppo	Opuntia polyacantha	Haw.	plains prickly pear	PS		May-Jun	Cactaceae	
Orfa	Orobanche fasciculata	Nutt.	purple broomrape	PF		Jun-Jul	Orobanchaceae	
Oxla	Oxytropis lambertii	Pursh	lambert loco (crazyweed)	PF		May-Aug	Leguminosae	
Oxse	Oxytropis sericea	Nutt. ex. Torr. & Gray	silky loco	PF		Apr-Jun	Leguminosae	
PAME	Pamelias sp.		foliose lichen				Thallophyta	
