LTER SpeciesCode	Scientific Name	Authority	Common Name	"Habit (P=Perennial, A=Annual, Bi=Biennial; Growth Form (G=Grass, F=Forb, SS=Sub Shrub) "	" (C=cool, W=Warm Season)"	Flowering Date	Family	
Thrh	Thermopsis rhombifolia	Nutt. ex. Richards.	spreadingpod thermopsis	PF		Apr-Jun	Leguminosae	
Thtr	See Thfi							
Thar	Thlaspi arvense	L.	field pennycress	AF		Apr-Jun	Cruciferae	
Thmo*	Thlaspi montanum	L.	mountain pennycress	PF		Apr-Jun	Cruciferae	
Toex	Townsendia exscapa	(Richards.) Porter	stemless townsendia	PF		Mar-May	Compositae	
Togr	Townsendia grandiflora	Nutt.	largeflower townsendia	PF		May-Jul	Compositae	
Troc	Tradescantia occidentalis	(Britt.) Smyth	prairie sipderwort	PF	CS	May-Aug	Commelinaceae	
Trdu	Tragopogon dubius	Scop.	yellow (western) salsify	BiF or PF	CS	May-Jul	Compositae	
Trte	Tribulus terrestris	L.	puncturevine (feverplant)	AF		May-Oct	Zygophyllaceae	
Trmi	Tripterocalyx micranthus	(Torr.) Hook.	winged fruited sandverbena	AF		May-Jun (Aug)	Nyctaginaceae	
Tyla*	Typha latifolia	L.	broad-leaved cattail	PF		May-Jul	Typhaceae	
Veth*	Verbascum thapsus	L.	common mullein	BiF		Jun-Jul	Scrophulariaceae	
Vebr	Verbena bracteata	Lag. & Rodr.	bigbract verbena	PF	WS	Apr-Oct	Verbenaceae	
Veen	Verbesina encelioides	(Cav.) Benth. & Hook. ssp. exauriculata (Robins & Greenm.) Coleman	golden crownbeard	AF		Jul-Sep	Compositae	
Vepa	Veronica peregrina	L.	purslane speedwell	AF		Jun-Sep	Scrophulariaceae	
Viam	Vicia americana	Muhl. ex. Willd.	American vetch	PF		May-Jun	Leguminosae	
Vinu	Viola nuttallii	Pursh	yellow prairie violet	PF		Apr-Jul	Violaceae	
Xast	Xanthium strumarium	L.	common cocklebur	AF		Jul-Oct	Compositae	
Yugl	Yucca glauca	Nutt. ex. Fraser	small soapweed	PSS		May-Jul	Agavaceae	
Zive	Zigadenus venenosus	S. Wats.	foothill death camus	PF		May-Jul	Liliaceae	
Mush	Mushroom		Mushroom					
Bare	Bare Ground		Bare Ground					
Litt	Litter		Litter					
Pesp	Penstemon species		Penstemon species					
Orob	Orobanche species		Orobanche species					
