"year","location","season","night","web","trap","recap","Taxa_sppcode","sex","age","reprod","mass","Taxa_genus","Taxa_species","count","Taxa_family","Taxa_order"
1989,"5pgrass",1,2,2,"132","n","dior","m","a","na","55"," Dipodomys"," ordii",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,2,3,"12","n","dior","m","a","na","47"," Dipodomys"," ordii",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,2,3,"18","n","pgfv","m","a","na","8"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,2,3,"24","n","spsp","f","a","l","100"," Spermophilus"," spilosoma",1,"Sciuridae","Rodentia"
1989,"5pgrass",1,2,3,"30","n","pgfv","m","a","st","7"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,2,3,"34","n","dior","m","a","na","43.5"," Dipodomys"," ordii",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,2,3,"58","n","dior","f","a","l","51"," Dipodomys"," ordii",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,2,3,"59","n","onar","m","a","na","21"," Onychomys"," arenicola",1,"Cricetidae","Rodentia"
1989,"5pgrass",1,2,3,"65","n","pgfv","f","a","na","6.5"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,2,3,"67","n","remg","m","a","st","7"," Reithrodontomys"," megalotis",1,"Cricetidae","Rodentia"
1989,"5pgrass",1,2,3,"72","n","dior","m","a","na","41.5"," Dipodomys"," ordii",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,2,3,"76","n","pgfv","f","a","na","6"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,2,3,"83","n","dior","m","a","na","46"," Dipodomys"," ordii",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,2,3,"91","n","pgfv","m","a","na","8"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
