"SITE","DATE","TRAPDAY","TAG","SPECIES","FATE","SEX","TESTES","VAGINA","NIPPLES","PREGNANT","MASS","STATION","CAPNUM","SEASON","Taxa_order","Taxa_family","Taxa_genus","Taxa_species","count"
"T1","11/21/92",2,"A662",4,1,"2","0","1","2","0","52","60",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","11/21/92",3,"A662",4,2,"2","0","1","2","0","52","61",2,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","12/13/91",1,"B662",2,1,"1","1","0","0","0","11","20",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T1","11/21/92",2,"A663",4,1,"1","1","0","0","0","44","62",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","11/21/92",3,"A663",4,2,"1","1","0","0","0","44","65",2,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","12/13/91",1,"B663",2,1,"1","2","0","0","0","12","19",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T1","11/21/92",2,"A664",2,1,"1","3","0","0","0","18","44",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T5","12/13/91",1,"B664",4,1,"2","0","1","1","0","48","18",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","12/13/91",2,"B664",4,2,"2","0","1","1","0","48","22",2,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","12/13/91",3,"B664",4,2,"2","0","1","1","0","48","20",3,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","11/21/92",2,"A665",4,1,"1","3","0","0","0","87","42",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","12/13/91",1,"B665",4,1,"1","1","0","0","0","53","14",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","12/13/91",2,"B665",4,2,"1","1","0","0","0","53","14",2,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","12/13/91",3,"B665",4,2,"1","1","0","0","0","53","14",3,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","11/21/92",2,"A666",4,1,"2","0","1","2","0","68","41",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","12/13/91",1,"B666",2,1,"1","1","0","0","0","10","13",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T1","11/21/92",2,"A667",4,1,"2","0","1","2","0","62","34",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","12/13/91",1,"B667",4,1,"1","1","0","0","0","52","11",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","12/13/91",2,"B667",4,2,"1","1","0","0","0","52","7",2,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","12/13/91",3,"B667",4,2,"1","1","0","0","0","52","7",3,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","11/21/92",2,"A668",4,1,"1","1","0","0","0","49","32",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","11/21/92",3,"A668",4,2,"1","1","0","0","0","49","31",2,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","12/13/91",1,"B668",2,1,"2","0","1","2","0","14","10",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T1","11/21/92",2,"A669",4,1,"2","0","1","2","0","64","31",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","11/21/92",3,"A669",4,2,"2","0","1","2","0","64","32",2,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","12/13/91",1,"B669",4,1,"2","0","1","1","0","36","9",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","12/13/91",2,"B669",4,2,"2","0","1","1","0","36","11",2,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","12/13/91",3,"B669",4,2,"2","0","1","1","0","36","9",3,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","11/21/92",2,"A670",4,1,"1","1","0","0","0","46","27",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","12/13/91",1,"B670",2,1,"2","0","1","1","0","10","8",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T1","11/21/92",2,"A671",4,1,"1","1","0","0","0","49","24",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","12/13/91",1,"B671",2,1,"1","1","0","0","0","15","7",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T5","12/13/91",3,"B671",2,2,"1","1","0","0","0","15","6",2,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T1","11/21/92",2,"A672",4,1,"1","1","0","0","0","51","21",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","11/21/92",3,"A672",4,2,"1","1","0","0","0","51","24",2,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","12/13/91",1,"B672",2,1,"2","0","1","1","0","17","21",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T4","12/13/91",2,"B672",2,2,"2","0","1","1","0","17","18",2,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T1","11/21/92",2,"A673",2,1,"1","3","0","0","0","17","14",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T4","12/13/91",1,"B673",4,1,"1","2","0","0","0","66","16",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","11/21/92",2,"A674",2,1,"2","0","1","1","0","10","11",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T4","12/13/91",1,"B674",4,1,"1","2","0","0","0","48","13",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","12/13/91",3,"B674",4,2,"1","2","0","0","0","48","10",2,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","11/21/92",2,"A675",2,1,"2","0","1","2","0","17","10",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T1","11/21/92",3,"A675",2,2,"2","0","1","2","0","17","11",2,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T4","12/13/91",1,"B675",2,1,"1","2","0","0","0","17","11",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T4","12/13/91",2,"B675",2,2,"1","2","0","0","0","17","11",2,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T4","12/13/91",3,"B675",2,2,"1","2","0","0","0","17","11",3,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T5","04/18/93",2,"A676",2,1,"1","1","0","0","0","17","16",1,"Spring","Rodentia","Muridae","Mus","musculus",1
"T4","12/13/91",1,"B676",2,1,"2","0","1","1","0","10","7",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T1","11/21/92",2,"Z676",2,1,"2","0","1","1","0","8","8",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T1","04/18/93",2,"A677",2,1,"1","2","0","0","0","16","22",1,"Spring","Rodentia","Muridae","Mus","musculus",1
"T4","12/13/91",1,"B677",2,1,"2","0","1","1","0","15","6",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T1","11/21/92",2,"Z677",2,1,"2","0","1","2","0","15","7",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T1","04/18/93",2,"A678",4,1,"1","1","0","0","0","67","16",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","12/13/91",1,"B678",2,1,"1","2","0","0","0","14","5",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T4","11/21/92",3,"Z678",4,1,"1","3","0","0","0","59","14",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","04/18/93",3,"A679",4,1,"2","0","1","2","1","75","17",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","12/13/91",2,"B679",2,1,"2","0","1","1","0","10","68",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T2","11/17/93",2,"C679",4,1,"2","0","1","1","0","40","16",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","11/21/92",3,"Z679",2,1,"1","1","0","0","0","9","11",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T4","04/18/93",3,"A680",2,1,"1","2","0","0","0","18","5",1,"Spring","Rodentia","Muridae","Mus","musculus",1
"T1","12/13/91",2,"B680",2,1,"1","2","0","0","0","14","65",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T5","11/17/93",2,"C680",4,1,"2","0","1","1","0","32","10",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","11/21/92",3,"Z680",4,1,"1","2","0","0","0","73","10",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","04/18/93",3,"A681",4,1,"1","1","0","0","0","57","26",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","12/13/91",2,"B681",4,1,"1","1","0","0","0","0","48",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","11/21/92",3,"Z681",2,1,"2","0","1","1","0","8","9",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T5","04/18/93",3,"A682",4,1,"2","0","1","1","0","40","8",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","12/13/91",2,"B682",2,1,"2","0","1","1","0","11","26",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T1","12/13/91",3,"B682",2,2,"2","0","1","1","0","11","25",2,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T4","11/21/92",3,"Z682",4,1,"1","2","0","0","0","61","8",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","04/18/93",3,"A683",4,1,"1","1","0","0","0","68","21",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","12/13/91",2,"B683",4,1,"2","0","1","1","0","32","24",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T2","11/17/93",2,"C683",4,1,"1","1","0","0","0","59","25",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","11/21/92",3,"Z683",2,1,"1","1","0","0","0","13","7",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T1","04/18/93",3,"A684",4,1,"1","1","0","0","0","48","17",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","12/13/91",2,"B684",2,1,"1","1","0","0","0","13","23",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T2","11/17/93",2,"C684",4,1,"1","1","0","0","0","57","26",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","11/21/92",3,"Z684",2,1,"2","0","1","1","0","9","5",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T1","04/18/93",3,"A685",4,1,"1","1","0","0","0","50","16",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","12/13/91",2,"B685",2,1,"1","1","0","0","0","10","22",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T2","11/17/93",2,"C685",4,1,"1","3","0","0","0","77","20",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T2","11/17/93",2,"F685",4,1,"1","3","0","0","0","86","36",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","11/21/92",3,"Z685",2,1,"1","1","0","0","0","10","4",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T1","04/18/93",3,"A686",2,1,"2","0","1","1","0","19","11",1,"Spring","Rodentia","Muridae","Mus","musculus",1
"T1","12/13/91",2,"B686",2,1,"1","1","0","0","0","15","19",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T1","12/13/91",3,"B686",2,2,"1","1","0","0","0","15","10",2,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T5","11/17/93",2,"C686",4,1,"1","1","0","0","0","37","9",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","11/21/92",3,"Z686",4,1,"1","2","0","0","0","69","32",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T2","04/18/93",3,"A687",2,1,"2","0","1","2","0","19","17",1,"Spring","Rodentia","Muridae","Mus","musculus",1
"T1","12/13/91",2,"B687",2,1,"1","1","0","0","0","13","13",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T2","11/17/93",2,"C687",4,1,"2","0","1","1","0","37","18",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","11/21/92",3,"Z687",4,1,"2","0","1","1","0","38","31",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T2","04/18/93",3,"A688",2,1,"2","0","2","1","0","11","16",1,"Spring","Rodentia","Muridae","Mus","musculus",1
"T5","12/13/91",2,"B688",4,1,"1","1","0","0","0","47","32",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","11/21/92",3,"Z688",2,1,"2","0","1","1","0","11","22",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T2","04/18/93",3,"A689",4,1,"2","0","1","1","0","55","42",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","12/13/91",2,"B689",4,1,"1","1","0","0","0","46","31",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","11/21/92",3,"Z689",4,1,"1","2","0","0","0","49","19",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T2","04/18/93",3,"A690",2,1,"2","0","1","1","0","11","62",1,"Spring","Rodentia","Muridae","Mus","musculus",1
"T5","12/13/91",2,"B690",4,1,"2","0","1","2","0","52","29",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T2","11/17/93",2,"C690",2,1,"2","0","1","2","0","17","14",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T5","11/21/92",3,"Z690",2,1,"1","1","0","0","0","12","17",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T5","12/13/91",2,"B691",2,1,"1","1","0","0","0","18","24",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T5","11/21/92",3,"Z691",2,1,"1","3","0","0","0","20","9",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T5","12/13/91",2,"B692",4,1,"1","1","0","0","0","45","20",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","11/21/92",3,"Z692",6,1,"2","0","1","1","0","58","8",1,"Autumn","Rodentia","Muridae","Rattus","norvegicus",1
"T5","12/13/91",2,"B693",2,1,"2","0","1","1","0","12","19",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T5","11/21/92",3,"Z693",4,1,"2","0","1","1","0","38","7",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","12/13/91",2,"B694",4,1,"2","0","1","1","0","43","18",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","11/21/92",3,"Z694",2,1,"2","0","1","2","0","15","6",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T5","12/13/91",2,"B695",4,1,"1","1","0","0","0","41","14",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","12/13/91",3,"B695",4,2,"1","1","0","0","0","41","13",2,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","11/21/92",3,"Z695",2,1,"2","0","1","1","0","11","4",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T5","12/13/91",2,"B696",2,1,"2","0","1","1","0","12","13",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T5","11/21/92",3,"Z696",2,1,"2","0","1","1","0","10","2",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T5","12/13/91",2,"B697",4,1,"1","2","0","0","0","56","10",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","12/13/91",3,"B697",4,2,"1","2","0","0","0","56","10",2,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T2","11/17/93",2,"C697",2,1,"1","1","0","0","0","17","19",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T1","11/21/92",3,"Z697",4,1,"2","0","1","1","0","48","74",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","12/13/91",2,"B698",4,1,"2","0","1","1","0","40","9",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","11/21/92",3,"Z698",4,1,"1","2","0","0","0","66","60",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","12/13/91",2,"B699",2,1,"1","1","0","0","0","10","8",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T1","11/21/92",3,"Z699",4,1,"2","0","1","1","0","46","58",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","11/21/92",3,"A700",4,1,"2","0","1","1","0","40","52",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","12/13/91",2,"B700",2,1,"2","0","1","1","0","13","6",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T2","11/17/93",2,"F700",2,1,"2","0","1","1","0","14","30",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T2","12/04/94",2,"A701",2,1,"1","2","0","0","0","17","69",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T4","03/27/04",1,"G701",4,1,"2",NA,"1","1",NA,"46","18",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T2","12/04/94",2,"A702",2,1,"2","0","1","1","0","15","73",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T4","03/27/04",1,"G702",4,1,"1","1",NA,NA,NA,"45","3",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T2","12/04/94",2,"A703",2,1,"1","2","0","0","0","14","74",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T1","03/27/04",1,"G703",4,1,"1","1",NA,NA,NA,"80","67",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","03/27/04",3,"G703",4,2,"1","1",NA,NA,NA,"80","64",2,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","11/17/04",3,"G703",4,2,"1","2",NA,NA,NA,"103","65",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T2","12/04/94",2,"A704",4,1,"2","0","2","1","0","37","75",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","03/27/04",1,"G704",4,1,"1","1",NA,NA,NA,"61","40",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","03/27/04",1,"G705",4,1,"1","1",NA,NA,NA,"64","32",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","03/27/04",1,"G706",4,1,"1","1",NA,NA,NA,"41","9",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","03/27/04",2,"G707",4,1,"2",NA,"1","1",NA,"41","18",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","03/27/04",2,"G708",4,1,"1","1",NA,NA,NA,"59","10",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","03/27/04",2,"G709",4,1,"1","1",NA,NA,NA,"50","3",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","03/27/04",2,"G710",4,1,"1","1",NA,NA,NA,"50","67",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","03/27/04",2,"G711",4,1,"1","1",NA,NA,NA,"45","61",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","03/27/04",3,"G712",4,1,"1","1",NA,NA,NA,"70","77",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","03/27/04",3,"G713",4,1,"1","1",NA,NA,NA,"52","32",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","03/27/04",3,"G714",4,1,"1","1",NA,NA,NA,"58","22",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","03/27/04",3,"G715",4,1,"2",NA,"1","1",NA,"37","20",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","03/27/04",3,"G716",4,1,"1","1",NA,NA,NA,"54","18",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","03/27/04",3,"G717",4,1,"1","1",NA,NA,NA,"70","15",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","12/04/94",1,"A726",2,1,"2","0","1","1","0","13","18",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T4","12/04/94",3,"A726",2,2,"2","0","1","1","0","13","20",2,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T4","12/04/94",1,"A727",4,1,"2","0","1","1","0","44","17",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","12/04/94",1,"A728",4,1,"1","1","0","0","0","70","14",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","12/04/94",3,"A728",4,2,"1","1","0","0","0","70","13",2,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","12/04/94",1,"A730",4,1,"2","0","1","2","0","57","13",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","12/04/94",1,"A731",2,1,"2","0","1","1","0","14","11",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T4","12/04/94",2,"A731",2,2,"2","0","1","1","0","14","9",2,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T4","12/04/94",3,"A731",2,2,"2","0","1","1","0","14","9",3,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T4","12/04/94",1,"A732",4,1,"1","2","0","0","0","60","7",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","12/04/94",1,"A733",4,1,"2","0","1","1","0","36","6",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","12/04/94",1,"A734",4,1,"1","1","0","0","0","65","30",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","12/04/94",2,"A734",4,2,"1","1","0","0","0","65","25",2,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","12/04/94",1,"A735",4,1,"2","0","1","1","0","38","28",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","12/04/94",3,"A735",4,2,"2","0","1","1","0","38","25",2,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","11/17/04",1,"G737",4,1,"2",NA,"1","1",NA,"38","27",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","11/17/04",1,"G738",4,1,"2",NA,"1","1",NA,"56","26",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","11/17/04",3,"G738",4,2,"2",NA,"1","1",NA,"56","31",2,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","11/17/04",1,"G739",2,1,"2",NA,"1","1",NA,"10","23",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T5","11/17/04",1,"G740",2,1,"1","1",NA,NA,NA,"11","17",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T5","11/17/04",1,"G741",4,1,"1","1",NA,NA,NA,"49","11",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","11/17/04",1,"G742",4,1,"2",NA,"1","1",NA,"56","21",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","11/17/04",2,"G742",4,2,"2",NA,"1","1",NA,"56","21",2,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","11/17/04",1,"G743",2,1,"2",NA,"1","2",NA,"21","11",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T4","11/17/04",3,"G743",2,2,"2",NA,"1","2",NA,"21","11",2,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T4","11/17/04",1,"G744",4,1,"1","1",NA,NA,NA,"93","9",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","11/17/04",1,"G745",4,1,"1","1",NA,NA,NA,"84","8",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","11/17/04",2,"G745",4,2,"1","1",NA,NA,NA,"84","6",2,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","11/17/04",1,"G746",4,1,"1","1",NA,NA,NA,"63","6",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","11/17/04",1,"G747",2,1,"2",NA,"1","1",NA,"13","4",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T4","11/17/04",1,"G748",4,1,"2",NA,"1","1",NA,"65","5",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","11/17/04",3,"G748",4,2,"2",NA,"1","1",NA,"65","6",2,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","11/17/04",1,"G749",4,1,"1","1",NA,NA,NA,"55","73",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","11/17/04",1,"G750",4,1,"1","1",NA,NA,NA,"72","68",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","12/04/94",1,"A751",2,1,"2","0","1","1","0","13","25",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T1","11/17/04",1,"G751",4,1,"2",NA,"1","1",NA,"70","64",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","12/04/94",1,"A752",4,1,"2","0","1","1","0","38","23",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","11/17/04",1,"G752",4,1,"1","1",NA,NA,NA,"78","63",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","12/04/94",1,"A753",2,1,"1","1","0","0","0","16","22",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T1","11/17/04",1,"G753",4,1,"2",NA,"1","1",NA,"70","61",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","12/04/94",1,"A754",4,1,"1","1","0","0","0","50","20",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","11/17/04",1,"G754",4,1,"2",NA,"1","1",NA,"46","58",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","12/04/94",1,"A755",2,1,"2","0","1","2","0","11","15",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T1","11/17/04",1,"G755",4,1,"1","1",NA,NA,NA,"52","48",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","12/04/94",1,"A756",2,1,"2","0","1","1","0","14","12",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T1","11/17/04",1,"G756",4,1,"1","1",NA,NA,NA,"63","47",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","12/04/94",1,"A757",2,1,"1","1","0","0","0","13","10",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T5","12/04/94",3,"A757",2,2,"1","1","0","0","0","13","5",2,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T1","11/17/04",1,"G757",4,1,"1","1",NA,NA,NA,"58","45",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","12/04/94",1,"A758",4,1,"1","1","0","0","0","49","9",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","11/17/04",1,"G758",2,1,"1","1",NA,NA,NA,"12","43",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T1","12/04/94",1,"A759",4,1,"1","1","0","0","0","58","67",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","11/17/04",1,"G759",4,1,"1","1",NA,NA,NA,"72","40",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","12/04/94",1,"A760",2,1,"2","0","1","1","0","13","23",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
