"year","block","fire","trt","plot","spnum","Taxa_genus","Taxa_species","cover","Taxa_kingdom","Taxa_family"
2006,"Marheya",1,1,5,1,"Bothriochloa","radicans",27.25,"Plantae","Poaceae"
2006,"Marheya",1,1,5,5,"Panicum","coloratum",68.75,"Plantae","Poaceae"
2006,"Marheya",1,1,5,8,"Urochloa","mosambicensis",8,"Plantae",NA
2006,"Marheya",1,1,5,11,"Chloris","virgatum",0.75,"Plantae","Poaceae"
2006,"Marheya",1,1,5,14,"Eragrostis","nidensis",2,"Plantae","Poaceae"
2006,"Marheya",1,1,5,17,"Eragrostis","lehmanniana",1,"Plantae","Poaceae"
2006,"Marheya",1,1,5,20,"Schmidtia","pappophoroides",3.25,"Plantae",NA
2006,"Marheya",1,1,5,23,"Tragus","berteronianus",0.5,"Plantae","Poaceae"
2006,"Marheya",1,1,5,30,"Limeum","teracarpum",2.5,"Plantae",NA
2006,"Marheya",1,1,5,43,"Chamaecrista","mimosoides",1.75,"Plantae",NA
2006,"Marheya",1,1,5,49,"Corchorus","asplenifolius",0.5,"Plantae",NA
2006,"Marheya",1,1,5,56,"Indigofera","rhytidocarpa subsp. Rhytidocarpa",1.75,"Plantae",NA
2006,"Marheya",1,1,5,57,"Crotalaria","virgulata grantiana",6.5,"Plantae",NA
2006,"Marheya",1,1,5,71,"Heliotropium","steudneri",7.5,"Plantae","Boraginaceae"
2006,"Marheya",1,1,5,97,"Phyllanthus","nummulariifolius",0.25,"Plantae",NA
2006,"Marheya",1,1,5,101,"Gisekia","c.f. africana",0.5,"Plantae",NA
2006,"Marheya",1,1,5,114,"Ipomoea","plebia africana",6.25,"Plantae","Convolvulaceae"
2006,"Marheya",1,1,5,118,"Tephrosia","purpurea leptostachya",26.5,"Plantae",NA
2006,"Marheya",1,1,6,1,"Bothriochloa","radicans",86.25,"Plantae","Poaceae"
2006,"Marheya",1,1,6,5,"Panicum","coloratum",5.5,"Plantae","Poaceae"
2006,"Marheya",1,1,6,8,"Urochloa","mosambicensis",2.75,"Plantae",NA
2006,"Marheya",1,1,6,14,"Eragrostis","nidensis",1.75,"Plantae","Poaceae"
2006,"Marheya",1,1,6,30,"Limeum","teracarpum",0.25,"Plantae",NA
2006,"Marheya",1,1,6,47,"Commelina","erecta",0.25,"Plantae","Commelinaceae"
2006,"Marheya",1,1,6,48,"Corchorus 1","",0.5,"Plantae",NA
2006,"Marheya",1,1,6,49,"Corchorus","asplenifolius",0.5,"Plantae",NA
2006,"Marheya",1,1,6,56,"Indigofera","rhytidocarpa subsp. Rhytidocarpa",3.5,"Plantae",NA
2006,"Marheya",1,1,6,57,"Crotalaria","virgulata grantiana",6,"Plantae",NA
2006,"Marheya",1,1,6,71,"Heliotropium","steudneri",2,"Plantae","Boraginaceae"
2006,"Marheya",1,1,6,95,"Phyllanthus","burchellii",1,"Plantae",NA
2006,"Marheya",1,1,6,96,"Phyllanthus","maderaspatensis",0.5,"Plantae",NA
2006,"Marheya",1,1,6,97,"Phyllanthus","nummulariifolius",0.75,"Plantae",NA
2006,"Marheya",1,1,7,1,"Bothriochloa","radicans",63.75,"Plantae","Poaceae"
2006,"Marheya",1,1,7,6,"Panicum","deustum",2.5,"Plantae","Poaceae"
2006,"Marheya",1,1,7,8,"Urochloa","mosambicensis",16.5,"Plantae",NA
2006,"Marheya",1,1,7,10,"Aristada","congesta barbicollis",3.75,"Plantae",NA
2006,"Marheya",1,1,7,14,"Eragrostis","nidensis",9.75,"Plantae","Poaceae"
2006,"Marheya",1,1,7,30,"Limeum","teracarpum",6.25,"Plantae",NA
2006,"Marheya",1,1,7,31,"Indigofera","vicioides",12.25,"Plantae",NA
2006,"Marheya",1,1,7,43,"Chamaecrista","mimosoides",1.25,"Plantae",NA
2006,"Marheya",1,1,7,56,"Indigofera","rhytidocarpa subsp. Rhytidocarpa",3.5,"Plantae",NA
2006,"Marheya",1,1,7,57,"Crotalaria","virgulata grantiana",3,"Plantae",NA
2006,"Marheya",1,1,7,101,"Gisekia","c.f. africana",0.25,"Plantae",NA
2006,"Marheya",1,1,7,114,"Ipomoea","plebia africana",1,"Plantae","Convolvulaceae"
2006,"Marheya",1,2,1,1,"Bothriochloa","radicans",71.25,"Plantae","Poaceae"
2006,"Marheya",1,2,1,4,"Themeda","triandra",0.5,"Plantae",NA
2006,"Marheya",1,2,1,5,"Panicum","coloratum",1,"Plantae","Poaceae"
2006,"Marheya",1,2,1,6,"Panicum","deustum",0.25,"Plantae","Poaceae"
2006,"Marheya",1,2,1,8,"Urochloa","mosambicensis",8,"Plantae",NA
2006,"Marheya",1,2,1,10,"Aristada","congesta barbicollis",2.75,"Plantae",NA
2006,"Marheya",1,2,1,11,"Chloris","virgatum",4.25,"Plantae","Poaceae"
2006,"Marheya",1,2,1,14,"Eragrostis","nidensis",9.75,"Plantae","Poaceae"
2006,"Marheya",1,2,1,23,"Tragus","berteronianus",0.75,"Plantae","Poaceae"
2006,"Marheya",1,2,1,31,"Indigofera","vicioides",5.25,"Plantae",NA
2006,"Marheya",1,2,1,49,"Corchorus","asplenifolius",0.5,"Plantae",NA
2006,"Marheya",1,2,1,50,"Talinum","caffrum",1.25,"Plantae",NA
2006,"Marheya",1,2,1,71,"Heliotropium","steudneri",11.5,"Plantae","Boraginaceae"
2006,"Marheya",1,2,1,72,"Hermannia","sp. (cf. glanduligera)",1,"Plantae",NA
2006,"Marheya",1,2,1,95,"Phyllanthus","burchellii",0.25,"Plantae",NA
2006,"Marheya",1,2,1,96,"Phyllanthus","maderaspatensis",0.25,"Plantae",NA
2006,"Marheya",1,2,1,101,"Gisekia","c.f. africana",0.25,"Plantae",NA
2006,"Marheya",1,2,1,106,"Ipomoea","crassipes",0.25,"Plantae","Convolvulaceae"
2006,"Marheya",1,2,1,114,"Ipomoea","plebia africana",7.25,"Plantae","Convolvulaceae"
2006,"Marheya",1,2,1,115,"Acalypha","villicaulis",0.25,"Plantae","Euphorbiaceae"
2006,"Marheya",1,2,1,120,"Tribulus","terrestris",1.5,"Plantae","Zygophyllaceae"
2006,"Marheya",1,2,1,130,"Vernonia","fastigata",1,"Plantae",NA
2006,"Marheya",1,2,2,5,"Panicum","coloratum",1.25,"Plantae","Poaceae"
2006,"Marheya",1,2,2,8,"Urochloa","mosambicensis",45,"Plantae",NA
2006,"Marheya",1,2,2,10,"Aristada","congesta barbicollis",1.25,"Plantae",NA
2006,"Marheya",1,2,2,11,"Chloris","virgatum",1.25,"Plantae","Poaceae"
2006,"Marheya",1,2,2,14,"Eragrostis","nidensis",6.5,"Plantae","Poaceae"
2006,"Marheya",1,2,2,20,"Schmidtia","pappophoroides",7.25,"Plantae",NA
2006,"Marheya",1,2,2,23,"Tragus","berteronianus",3.25,"Plantae","Poaceae"
2006,"Marheya",1,2,2,30,"Limeum","teracarpum",0.75,"Plantae",NA
2006,"Marheya",1,2,2,49,"Corchorus","asplenifolius",0.25,"Plantae",NA
2006,"Marheya",1,2,2,56,"Indigofera","rhytidocarpa subsp. Rhytidocarpa",47.5,"Plantae",NA
2006,"Marheya",1,2,2,57,"Crotalaria","virgulata grantiana",2,"Plantae",NA
2006,"Marheya",1,2,2,71,"Heliotropium","steudneri",22.25,"Plantae","Boraginaceae"
2006,"Marheya",1,2,2,79,"Linum","thunbergii",0.5,"Plantae","Linaceae"
2006,"Marheya",1,2,2,94,"Opposite narrow-leaf forb","",0.25,"Plantae",NA
2006,"Marheya",1,2,2,101,"Gisekia","c.f. africana",1,"Plantae",NA
2006,"Marheya",1,2,2,114,"Ipomoea","plebia africana",15.25,"Plantae","Convolvulaceae"
2006,"Marheya",1,2,2,120,"Tribulus","terrestris",1.5,"Plantae","Zygophyllaceae"
2006,"Marheya",1,2,3,1,"Bothriochloa","radicans",80,"Plantae","Poaceae"
2006,"Marheya",1,2,3,4,"Themeda","triandra",1,"Plantae",NA
2006,"Marheya",1,2,3,5,"Panicum","coloratum",5,"Plantae","Poaceae"
